,AD_GRUPOECONOMICO,AD_CODUNNEG,DESCRICAO,SEGMENTO
6915,BRASILPLAST,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
6916,ATOCOLOR INDUSTRIA E COMERCIO LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
6917,BRH SULFLEX,1.0,INDUSTRIAL,
6918,BRITISH,1.0,INDUSTRIAL,
6919,C DA COSTA SOARES DISTRIBUIDORA DE COSMETICOS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
6920,NOXCELLER,,,
6921,COTEC TINTAS SERIGRAFICAS LTDA - ME,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
6922,CRECÊNCIA CRIANDO ESSENCIAS,1.0,INDUSTRIAL,
6923,FTB TRAMAR,,,
6924,BELFANO,1.0,INDUSTRIAL,
6925,GELPLAST REVESTIMENTOS,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
6926,GIENEX,1.0,INDUSTRIAL,
6927,INAFLEX,1.0,INDUSTRIAL,
6928,ALFA RIO,,,
6929,LUBROTEC,1.0,INDUSTRIAL,
6930,BELOFIO,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
6931,BETTER PRODUTOS ADESIVOS LTDA,1.0,INDUSTRIAL,ADESIVOS | Hot Melt
6932,MABTEC,,,
6933,BLUE DENT,,,
6934,AMAPA DO SUL,1.0,INDUSTRIAL,
6935,MP DO BRASIL LTDA - EPP,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
6936,OGRAMAC,1.0,INDUSTRIAL,
6937,OPALO COSMÉTICOS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
6938,PRISCILLA MOREIRA LIMA - CONSULTORIA,,,
6939,QIT,1.0,INDUSTRIAL,
6940,QUÉEFREN SABONETES,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
6941,GRAMPOAR,1.0,INDUSTRIAL,
6942,GRUPO VILLA URBANA,,,
6943,MISTER COMERCIO DE ALIMENTOS LTDA,3.0,FOOD & NUTRITION,
6944,AGROPECUARIA DANELUZ LTDA,2.0,LIFE & PERSONAL CARE,
6945,COOPERATIVA DE PRODUCAO E CONSUMO AGROINDUSTRIAL FAMILIAR DE PRESIDENTE CASTELO BRANCO COPERCASTELLO,3.0,FOOD & NUTRITION,
6946,CONFEITARIA Q DELICIA LTDA,3.0,FOOD & NUTRITION,
6947,RADIEX,1.0,INDUSTRIAL,
6948,RAIZEN (TERMINAL SP),1.0,INDUSTRIAL,
6949,RAVENNA COSMÉTICOS,2.0,LIFE & PERSONAL CARE,
6950,VIEIRA FILHO TECNOLOGIA ELETRONICA EIRELI,1.0,INDUSTRIAL,
6951,MOLHOS HINOMOTO,3.0,FOOD & NUTRITION,
6952,PISSANI,3.0,FOOD & NUTRITION,
6953,RESIDROX,1.0,INDUSTRIAL,
6954,RESIFLEX,1.0,INDUSTRIAL,
6955,GUIDONI ORNAMENTAL ROCKS LTDA,1.0,INDUSTRIAL,
6956,HALLIBURTON,1.0,INDUSTRIAL,
6957,HALLIBURTON PRODUTOS LTDA,1.0,INDUSTRIAL,
6958,DANIEL GUSTAVO ANICIO NETO 09085778697,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
6959,RIFLEX INDUSTRIA E COMERCIO DE ELASTOMEROS EIRELI - EPP,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
6960,INNOVARE,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
6961,PLÁSTICOS DINARE,,,
6962,MB BORRACHAS,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
6963,GRUPO MÃE TERRA,3.0,FOOD & NUTRITION,
6964,DREBOR,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
6965,ARMAZEM TECIDOS E ARTIGOS PARA TAPECARIA LTDA,1.0,INDUSTRIAL,
6966,ATIVUS PRODUTOS DE LIMPEZA,1.0,INDUSTRIAL,I&I – INDUSTRIAL & INSTITUCIONAL | Autocare
6967,PÃO DE QUEIJO TI DELSO,3.0,FOOD & NUTRITION,
6968,FASHION COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
6969,IGOR DOS SANTOS CAVALCANTE,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
6970,GNT,3.0,FOOD & NUTRITION,
6971,GRUPO SALINAS,1.0,INDUSTRIAL,
6972,PHITOFARMA,3.0,FOOD & NUTRITION,
6973,PHX EMBALAGENS PLASTICAS EIRELI,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
6974,TERRA MINAS PÃO DE QUEIJO,,,
6975,Bão pão de queijo,3.0,FOOD & NUTRITION,
6976,Polimaster,3.0,FOOD & NUTRITION,
6977,KENDA FARBEN DO BRASIL LTDA,1.0,INDUSTRIAL,
6978,KORTOL,1.0,INDUSTRIAL,
6979,"COPRA INDÚSTRIA, COMÉRCIO E SERVIÇOS LTDA",,,
6980,NOVA POLIURETANOS LTDA - ME,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
6981,NOVA ROCHA INDUSTRIA DE TINTAS LTDA,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
6982,PLASTERMO,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
6983,SÓBASICO,,,
6984,FRITZ-FRIDA (GRUPO FROHLICH),3.0,FOOD & NUTRITION,
6985,MOBENSANI INDUSTRIAL E AUTOMOTIVA LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
6986,GLOBALFITI,1.0,INDUSTRIAL,
6987,JET SPRAY IND E COM,1.0,INDUSTRIAL,
6988,ZENSHO DO BRASIL COM ALIMENTOS LTDA ( RESTAURANTE SUKIYA),3.0,FOOD & NUTRITION,
6989,GROWTH,3.0,FOOD & NUTRITION,SUPLEMENTOS | Outros
6990,UNILIFE INDÚSTRIA NUTRACÊUTICA,3.0,FOOD & NUTRITION,
6991,MARQUESPAN INDUSTRIA DE ALIMENTOS LTDA,3.0,FOOD & NUTRITION,
6992,SORVETES ROCHINHA INDUSTRIA COMERCIO IMPORTACAO E EXPORTACAO LTDA,3.0,FOOD & NUTRITION,
6993,CARLY IND. E COM. LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
6994,CERALTEC CERÂMICA TÉCNICA LTDA,1.0,INDUSTRIAL,
6995,BENASSI,3.0,FOOD & NUTRITION,
6996,CAFÉ ORFÉU,3.0,FOOD & NUTRITION,
6997,CAMIL ALIMENTOS,3.0,FOOD & NUTRITION,
6998,ROMANUS,3.0,FOOD & NUTRITION,
6999,HUNGERFIT,,,
7000,COPAJ,1.0,INDUSTRIAL,
7001,DIMBINHO,3.0,FOOD & NUTRITION,
7002,LIVENZA MASSA,3.0,FOOD & NUTRITION,
7003,GELATO BOUTIQUE,3.0,FOOD & NUTRITION,
7004,GRUPO MWA,3.0,FOOD & NUTRITION,
7005,GLOBALPACK IND E COM LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
7006,FIAGRIL,4.0,AGRO,AGRONEGÓCIO | Inoculantes
7007,DEMTEC ARTEFATOS DE BORRACHA,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
7008,DFM INDÚSTRIA QUÍMICA LTDA,,,
7009,VITASUCO,3.0,FOOD & NUTRITION,
7010,YAI,,,
7011,LOWKO,3.0,FOOD & NUTRITION,
7012,YPF BRASIL COMERCIO DE DERIVAD,1.0,INDUSTRIAL,METALWORKING | Adesivos para metal-borracha
7013,SMELL INDUSTRIA E COMERCIO DE PRODUTOS DE LIMPEZA LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
7014,INDUSTRIA DE SABOES NEUTRAL LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
7015,ROYAL CANIN,3.0,FOOD & NUTRITION,
7016,MR PHARMA,2.0,LIFE & PERSONAL CARE,
7017,DRYLEVIS,1.0,INDUSTRIAL,
7018,TECNPIEL,1.0,INDUSTRIAL,
7019,TESPA-SERVICO ALIM E ESP DE TEMP EDUC E SAUDE LTDA,3.0,FOOD & NUTRITION,
7020,ROSATEX,1.0,INDUSTRIAL,
7021,ROTO PLAS,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
7022,RUST MASTER,,,
7023,ECOLUB,1.0,INDUSTRIAL,
7024,ULTRAMIX TINTAS INDUSTRIAIS,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
7025,SCANIA,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Artísticas
7026,SCHENECTADY CRIOS S/A,1.0,INDUSTRIAL,
7027,DUDUXO,3.0,FOOD & NUTRITION,
7028,CEVIS PADARIA E COMERCIO DE ALIMENTOS LTDA.,3.0,FOOD & NUTRITION,
7029,EMBRALIFE,1.0,INDUSTRIAL,
7030,MARUA,,,
7031,LABORATORIO LAHAS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
7032,PONTAL COSMETICOS EIRELI,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
7033,FORMAGGIO MINEIRO,3.0,FOOD & NUTRITION,
7034,PLK INDUSTRIA E COMERCIO DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
7035,TDB IND E COM DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
7036,PIETRA INDUSTRIA QUIMICA LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
7037,CGE INDUSTRIA DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
7038,CHEMLUB PRODUTOS QUÍMICOS LTDA,1.0,INDUSTRIAL,
7039,CINCOPLAST INDÚSTRIA E COMÉRCIO DE PLÁSTICOS,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
7040,MNV PHYTO-NANO COSMETICOS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
7041,SANTA TEREZINHA IND E COM DE COSMETICOS E BEBIDAS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
7042,ALMA INDUSTRIA E COMERCIO EIRELI,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
7043,LBS LABORASA,3.0,FOOD & NUTRITION,
7044,N.T.C PRODUTOS NATURAIS,3.0,FOOD & NUTRITION,
7045,COBEX PRODUTOS SINTÉTICOS,1.0,INDUSTRIAL,
7046,COLORMAX TINTAS E VERNIZES LTDA EPP ME,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
7047,SODIUM QUIMICA INDUSTRIAL EIRELI,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
7048,F. H. C. FONTANA HIGIENE E COSMETICOS LTDA - ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
7049,ALM HIGIENE LIMPEZA E EMBALAGEM EIRELI,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
7050,EVERS NUTRACÊUTICA,,,
7051,MANTEIGA AVIAÇÃO,,,
7052,MARS BRASIL,3.0,FOOD & NUTRITION,
7053,INFARMES INDUSTRIA FARMACEUTICA DO ESPIRITO SANTO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
7054,DANISCO,,,
7055,MAIS MU,3.0,FOOD & NUTRITION,SUPLEMENTOS | Outros
7056,GRUPO HEINZ,3.0,FOOD & NUTRITION,
7057,GOMES DA COSTA,3.0,FOOD & NUTRITION,
7058,OKAGAWA - OKAGAWA LTDA OKAGAWA - OKAGAWA LTDA,3.0,FOOD & NUTRITION,
7059,REBECA TSCHIEDEL C M GUEDES 02962981151,3.0,FOOD & NUTRITION,
7060,SOLAE,3.0,FOOD & NUTRITION,
7061,RS DE VARGAS COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
7062,GRUPO COCA COLA,3.0,FOOD & NUTRITION,
7063,ECOFRESH,3.0,FOOD & NUTRITION,
7064,DHPB PRODUTOS DE LIMPEZA LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
7065,AMAZON ERVAS - LABORATORIO BOTANICO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
7066,CENTRAL DAS ESSENCIAS LTDA - ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
7067,ITAMBÉ,3.0,FOOD & NUTRITION,
7068,DICOCO,3.0,FOOD & NUTRITION,
7069,TORRES,1.0,INDUSTRIAL,ADESIVOS | Hot Melt
7070,DNA SUPLEMENTOS,3.0,FOOD & NUTRITION,SUPLEMENTOS | Outros
7071,DESINCHA COMERCIO DE PRODUTOS NATURAIS LTDA,3.0,FOOD & NUTRITION,
7072,NEW HARMONY,,,
7073,DOGSPETT INDUSTRIA E COMERCIO DE PRODUTOS PARA USO VETERINARIO EIRELI,2.0,LIFE & PERSONAL CARE,
7074,USELIMP INDUSTRIA - DISTRIBUICAO LTDA,2.0,LIFE & PERSONAL CARE,
7075,BL INDUSTRIA OTICA LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
7076,NEO VIDA COMERCIO E IMPORTACAO DE PRODUTOS NATURAIS SA,3.0,FOOD & NUTRITION,ALIMENTAÇÃO HUMANA | Panificação/Biscoitos/Bolos
7077,EAT CLEAN EIRELI,3.0,FOOD & NUTRITION,ALIMENTAÇÃO HUMANA | Panificação/Biscoitos/Bolos
7078,PPG INDUSTRIAL DO BRASIL TINTAS E VERNIZES LTDA,,,
7079,SARANDI (MOTRISA),3.0,FOOD & NUTRITION,
7080,PETMANIA COSMETICOS DE USO VETERINARIO LTDA,2.0,LIFE & PERSONAL CARE,
7081,SYNBIOSIS LABORATORIOS DE MEDICAMENTOS E NUTRICAO LTDA,2.0,LIFE & PERSONAL CARE,
7082,PREPARACAO E COMERCIO DE CRINAS DE ANIMAIS RW LTDA,2.0,LIFE & PERSONAL CARE,
7083,MS PET INDUSTRIA E COMERCIO DE PRODUTOS PARA ANIMAIS DOMESTICOS LTDA,2.0,LIFE & PERSONAL CARE,
7084,DACOLONIA ALIMENTOS NATURAIS LTDA,3.0,FOOD & NUTRITION,
7085,PRODUTOS ALIMENTICIOS MACORTEZA LTDA,3.0,FOOD & NUTRITION,
7086,SUPERFRUT SORVETES LTDA,3.0,FOOD & NUTRITION,
7087,STEM PHARMACEUTICAL SUPL. ALIMENTÍCIOS,3.0,FOOD & NUTRITION,
7088,MARQUEZ ALIMENTOS EIRELI,3.0,FOOD & NUTRITION,
7089,BALDO COMERCIO INDUSTRIA E EXPORTACAO SA,3.0,FOOD & NUTRITION,
7090,KELCO PRUDUTOS ANIMAIS LTDA,2.0,LIFE & PERSONAL CARE,
7091,CHALESCO COMERCIAL DE PRODUTOS PARA ANIMAIS LTDA,2.0,LIFE & PERSONAL CARE,
7092,PETIX IND COM IMP E EXP DE PROD GERAIS P ANIMAIS DOMESTICOS LTDA,2.0,LIFE & PERSONAL CARE,
7093,DRAKO QUIMICA LTDA,2.0,LIFE & PERSONAL CARE,
7094,PIC-ME NATURAL,3.0,FOOD & NUTRITION,
7095,FLAVOR DE GRAMADO INDUSTRIALIZACAO DE ALIMENTOS EIRELI,3.0,FOOD & NUTRITION,
7096,COOPERATIVA AGRO PECUARIA PETROPOLIS LTDA,3.0,FOOD & NUTRITION,
7097,SANAVITA,3.0,FOOD & NUTRITION,SUPLEMENTOS | Outros
7098,FRASCOMAR-JULYPLASTIC I C P LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
7099,FITOWAY LABORATORIO NUTRICIONAL LTDA,3.0,FOOD & NUTRITION,ALIMENTAÇÃO HUMANA | Panificação/Biscoitos/Bolos
7100,LUNA COSMÉTICOS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
7101,TIROLEZ,3.0,FOOD & NUTRITION,
7102,SYNTHESIZE NUTRICAO HUMANA LTDA,3.0,FOOD & NUTRITION,ALIMENTAÇÃO HUMANA | Panificação/Biscoitos/Bolos
7103,NATUTERRA DRINKS COMERCIO ATACADISTA DE BEBIDAS LTDA,3.0,FOOD & NUTRITION,ALIMENTAÇÃO HUMANA | Panificação/Biscoitos/Bolos
7104,PLAST BLACK PIGMENTOS E COMPOSTOS LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
7105,DANONE LTDA,3.0,FOOD & NUTRITION,ALIMENTAÇÃO HUMANA | Panificação/Biscoitos/Bolos
7106,MARTEC IND COM E IMP DE MATERIAIS PLASTICOS LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
7107,PLASTIFLUOR,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
7108,RICLAN,3.0,FOOD & NUTRITION,
7109,COOPERATIVA AGROINDUSTRIAL WITMARSUM LTDA,3.0,FOOD & NUTRITION,
7110,QUICK BURGUER ALIMENTOS LTDA,3.0,FOOD & NUTRITION,
7111,SINTEPLAST IMPERMEABILIZANTES,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
7112,SPECIALLITA COSMETICOS,,,
7113,DAMP SORVETES ALPHAVILLE,3.0,FOOD & NUTRITION,
7114,GELATO BORELLI,3.0,FOOD & NUTRITION,
7115,NOSTRO GELATO,3.0,FOOD & NUTRITION,
7116,LATICINIOS REZENDE LTDA,3.0,FOOD & NUTRITION,
7117,ZINCAGEM MARTINS LTDA,1.0,INDUSTRIAL,
7118,TRIFER,1.0,INDUSTRIAL,
7119,INDUSTRIA E COMERCIO DE ALIMENTOS GURI LTDA,3.0,FOOD & NUTRITION,
7120,PAVILOCHE INDUSTRIAL LTDA,3.0,FOOD & NUTRITION,
7121,GEBON SORVETES LTDA,3.0,FOOD & NUTRITION,
7122,STELLA SELAMIL,1.0,INDUSTRIAL,
7123,FACE BELA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
7124,LABORATORIO LEIVAS LEITE INDUSTRIAS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
7125,V.V. INDÚSTRIA E COMÉRCIO DE COSMÉTICOS,,,
7126,GLOBAL FRUIT,3.0,FOOD & NUTRITION,
7127,PINGO DE NEVE-FÁBRICA DE SORVETES,3.0,FOOD & NUTRITION,
7128,DUCOCO,3.0,FOOD & NUTRITION,
7129,LABORATÓRIO DA MEDICINA NATURAL,2.0,LIFE & PERSONAL CARE,
7130,NUTRIMETAL,3.0,FOOD & NUTRITION,
7131,AROMITALIA DO BRASIL LTDA,3.0,FOOD & NUTRITION,ALIMENTAÇÃO HUMANA | Sorvetes/Sorbet/Cremes congelados
7132,OCEAN DROP COMERCIO LTDA,3.0,FOOD & NUTRITION,SUPLEMENTOS | Outros
7133,TICON TINTAS CONDUTIVAS LTDA,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
7134,MAIS FRUTA,3.0,FOOD & NUTRITION,
7135,INATA PRODUTOS BIOLÓGICOS,4.0,AGRO,
7136,NATIVE INDUSTRIA LTDA,2.0,LIFE & PERSONAL CARE,
7137,INGRAX INDUSTRIA E COMERCIO DE,1.0,INDUSTRIAL,METALWORKING | Adesivos para metal-borracha
7138,AEROMIX INDUSTRIA E COMERCIO L,1.0,INDUSTRIAL,METALWORKING | Adesivos para metal-borracha
7139,TINTAS MARFIM LTDA EPP,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
7140,PREMIUM PET BRASIL INDUSTRIA E COMERCIO DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,
7141,C M CEZAR - CIA LTDA,3.0,FOOD & NUTRITION,
7142,SLO AGROPECUÁRIA,4.0,AGRO,AGRONEGÓCIO | Inoculantes
7143,FRANKENTAL ESPECIALIDADES BIOQUIMICAS LTDA,4.0,AGRO,
7144,LEINERTEX,,,
7145,MASSA PLASTICA CARFORT LTDA EPP,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Artísticas
7146,MASTERPLAST,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
7147,SORA ALIMENTOS,3.0,FOOD & NUTRITION,
7148,FERTIQUIMICA AGROCIENCIAS LTDA,4.0,AGRO,AGRONEGÓCIO | Biológicos
7149,BEVI PLASTIC ARTEFATOS PLASTICOS LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
7150,EMEGÊ,3.0,FOOD & NUTRITION,
7151,REGINA (GRUPO BUAIZ),3.0,FOOD & NUTRITION,
7152,BORVULTEX,,,
7153,ALCA FOODS,3.0,FOOD & NUTRITION,
7154,PROJETOS APRINNOVA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | OUTROS - PERSONAL CARE
7155,NUTRISAFRA,4.0,AGRO,
7156,CUSTOM BY MARCO,1.0,INDUSTRIAL,
7157,LABORATÓRIO TAYUYNA,2.0,LIFE & PERSONAL CARE,
7158,MAX FLEX,1.0,INDUSTRIAL,
7159,MAXX BRILL,2.0,LIFE & PERSONAL CARE,
7160,MERLI COSMÉTICOS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
7161,NANOVETORES,1.0,INDUSTRIAL,
7162,NATURAL WATER,1.0,INDUSTRIAL,
7163,NATUREZA BRASIL,1.0,INDUSTRIAL,
7164,DOLCCE AROMA PROD AROMATIZADOS LTDA,2.0,LIFE & PERSONAL CARE,
7165,RONALDS INKWELL IND E COM DE TINTAS,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
7166,ROSA CLEAN,1.0,INDUSTRIAL,
7167,SD COMÉRCIO E DISTRIBUIDORA DE COSMÉTICOS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
7168,ELEMENTIS SPECIALTIES DO BRASIL QUIMICA LTDA.,2.0,LIFE & PERSONAL CARE,
7169,INDUSTRIA DE PÃES CRISLAN LTDA EPP,3.0,FOOD & NUTRITION,
7170,GOLD X ALIMENTOS LTDA,3.0,FOOD & NUTRITION,
7171,BIOCARE,2.0,LIFE & PERSONAL CARE,
7172,BOTTCHER DO BRASIL LTDA,1.0,INDUSTRIAL,
7173,BRUMAR COSMÉTICOS,2.0,LIFE & PERSONAL CARE,
7174,CAZI QUIMICA,1.0,INDUSTRIAL,
7175,SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL,1.0,INDUSTRIAL,
7176,CLOSED JOINT STOCK COMPANY,1.0,INDUSTRIAL,
7177,VEDAFLEX,1.0,INDUSTRIAL,
7178,GEOAMBIENTE,1.0,INDUSTRIAL,
7179,LABORTEX IND E COM DE PRODS DE BORR. LTD,1.0,INDUSTRIAL,
7180,VLAMAR INDUSTRIA E COMERCIO LTDA,3.0,FOOD & NUTRITION,SUPLEMENTOS | Outros
7181,SBE ARTEF. TECNICOS DE BORR.LTDA,2.0,LIFE & PERSONAL CARE,
7182,KAMUTE INDUSTRIA DE ALIMENTOS LTDA,3.0,FOOD & NUTRITION,SUPLEMENTOS | Outros
7183,BIO RAIZES INDUSTRIA E COMERCIO LTDA,4.0,AGRO,AGRONEGÓCIO | Fertilizantes
7184,NSC INDUSTRIAS ALIMENTICIAS LTDA,3.0,FOOD & NUTRITION,
7185,KEFF,2.0,LIFE & PERSONAL CARE,
7186,MOARA BIOESTIMULANTES AGROAMBIENTAIS LTDA,4.0,AGRO,
7187,H2 INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA,4.0,AGRO,AGRONEGÓCIO | Fertilizantes
7188,WARYNNE PROFESSIONAL LTDA,2.0,LIFE & PERSONAL CARE,
7189,KEROLEN CAMPOS MONTES - ME,2.0,LIFE & PERSONAL CARE,
7190,JIMELI,2.0,LIFE & PERSONAL CARE,
7191,KOCH INDUSTRIA E COMERCIO DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,
7192,ICEBERG INDUSTRIA E COMERCIO LTDA,3.0,FOOD & NUTRITION,
7193,Brazil Cosmetics,2.0,LIFE & PERSONAL CARE,
7194,LBLUME,2.0,LIFE & PERSONAL CARE,
7195,COSMETICOS VERONA,2.0,LIFE & PERSONAL CARE,
7196,SHP TINTAS ESPECIAIS LTDA,1.0,INDUSTRIAL,
7197,INDUSTRIA DE LATICINIOS CORONATA LTDA,3.0,FOOD & NUTRITION,SUPLEMENTOS | Outros
7198,ITAZUL,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | MULTICATEGORIA - HOUSEHOLD
7199,LISS EXPRESS COSMETICOS EIRELI,2.0,LIFE & PERSONAL CARE,
7200,AGBITECH CONTROLES BIOLOGICOS LTDA,4.0,AGRO,
7201,OSHADHI,2.0,LIFE & PERSONAL CARE,
7202,SEKAI INDUSTRIA E COMERCIO DE COMESTICOS LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | MULTICATEGORIA - PERSONAL CARE
7203,PROJETOS CONNECT CHEMICAL,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | OUTROS - PERSONAL CARE
7204,ESSENCIAS & AROMAS COMERCIO E DISTRIBUICAO DE EMBALAGENS E P,2.0,LIFE & PERSONAL CARE,
7205,Mathiesen S.A.C,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | OUTROS - PERSONAL CARE
7206,PONZONI ASSISTENCIA MEDICA S/C LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | OUTROS - PERSONAL CARE
7207,NEOLUBES INDUSTRIA DE LUBRIFICANTES LTDA,1.0,INDUSTRIAL,
7208,BVG BRASIL CONCENTRADOS DA AMAZONIA LTDA,3.0,FOOD & NUTRITION,SUPLEMENTOS | Outros
7209,CIALE INDUSTRIA E COMERCIO DE ALIMENTOS DO LESTE EIRELI,3.0,FOOD & NUTRITION,SUPLEMENTOS | Outros
7210,KLABIN FITOPRODUTOS LTDA,1.0,INDUSTRIAL,DISTRIBUIÇÃO | Revenda
7211,YVEIN FABRICAÇÃO E COMÉRCIO DE COSMÉTICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | OUTROS - PERSONAL CARE
7212,Z3 PRODUTOS NATURAIS LTDA,3.0,FOOD & NUTRITION,SUPLEMENTOS | Outros
7213,NOVA VULCAO S/A TINTAS E VERNIZES,2.0,LIFE & PERSONAL CARE,
7214,"SOSAL – Sobras e Salvados de Matérias Primas, Lubrificantes e Serviços Ltda.",2.0,LIFE & PERSONAL CARE,PERSONAL CARE | OUTROS - PERSONAL CARE
7215,REFORPAN INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,3.0,FOOD & NUTRITION,SUPLEMENTOS | Outros
7216,TRANSPORTADORA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | OUTROS - PERSONAL CARE
7217,TOPBEL INDUSTRIA COMERCIO UNIPESSOAL LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | OUTROS - PERSONAL CARE
7218,BRAZZICOR INDUSTRIA DE TINTAS E COMPLEMENTOS LTDA,1.0,INDUSTRIAL,
7219,BEVFOODS INDUSTRIA E COMERCIO DE ADITIVOS PARA ALIMENTOS E C,3.0,FOOD & NUTRITION,OUTROS FOOD | FRAGRÂNCIAS
7220,LIV UP COMERCIO DE ALIMENTOS LTDA,3.0,FOOD & NUTRITION,
7221,CONVI FOODS,3.0,FOOD & NUTRITION,
7222,RODOALTO TRANSPORTES SAO PAULO LTDA,2.0,LIFE & PERSONAL CARE,
7223,MONDIANA INDUSTRIA DE PLASTICOS LTDA,1.0,INDUSTRIAL,
